"3d_secure_failed","Не пройдена аутентификация по 3-D Secure"
"call_issuer","Оплата данным платежным средством отклонена по неизвестным причинам."
"card_expired","Истек срок действия банковской карты."
"country_forbidden","Нельзя заплатить банковской картой, выпущенной в этой стране. "
"fraud_suspected","Платеж заблокирован из-за подозрения в мошенничестве. "
"general_decline","Оплата данным платежным средством отклонена по неизвестным причинам."
"identification_required","Превышены ограничения на платежи для кошелька в Яндекс.Деньгах. "
"insufficient_funds","Не хватает денег для оплаты."
"invalid_card_number","Неправильно указан номер карты."
"invalid_csc","Неправильно указан код CVV2 (CVC2, CID)"
"issuer_unavailable","Организация, выпустившая платежное средство, недоступна. "
"payment_method_limit_exceeded","Исчерпан лимит платежей для данного платежного средства или вашего магазина. "
"payment_method_restricted","Запрещены операции данным платежным средством"
